Left Min,Right Min,Left Max,Right Max,Left Mean,Right Mean
105,105,112,110,108.666666667,107.875
103,106,111,111,107.208333333,108.625
104,104,112,111,107.708333333,108.166666667
105,106,111,111,107.916666667,108.625
103,106,111,112,107.208333333,108.791666667
105,106,111,112,107.583333333,108.291666667
105,107,111,112,107.75,109.208333333
105,105,110,110,107.375,107.875
106,106,112,110,108.416666667,107.833333333
105,108,113,111,108.083333333,109
104,105,112,111,106.958333333,107.75
102,105,111,111,108.458333333,107.458333333
104,107,111,111,107.375,109.125
101,104,111,110,106.333333333,107.75
105,107,112,111,108.041666667,108.666666667
105,106,111,111,107.541666667,108.875
105,105,110,110,106.916666667,108
106,107,112,111,108.541666667,109.291666667
105,107,112,111,108,108.958333333
104,106,111,111,107.333333333,107.916666667
104,106,111,111,107.875,108.25
105,105,111,111,108.041666667,108.583333333
104,105,110,110,106.916666667,107.875
106,105,110,111,108.166666667,107.25
104,106,111,111,107.5,109.041666667
105,105,111,109,106.916666667,107.416666667
105,105,110,110,107.208333333,108.333333333
104,107,112,112,107.666666667,108.791666667
104,105,110,111,106.666666667,108.583333333
105,105,112,111,108.25,108.708333333
106,105,112,113,108.333333333,108.666666667
104,104,112,110,107.625,106.916666667
106,105,112,110,108.5,108
105,106,111,111,107.666666667,108.458333333
103,106,109,110,106.75,107.5
106,105,113,111,108.583333333,107.625
104,106,111,112,107.583333333,109.291666667
104,106,112,112,107.916666667,108.25
105,106,111,112,107.875,108.458333333
105,106,111,110,107.666666667,108.041666667
104,106,112,111,107.375,108.458333333
104,106,113,111,107.875,108.541666667
105,105,113,111,107.916666667,108.625
104,106,112,109,107.625,107.5
106,106,111,111,108.166666667,108.541666667
104,107,111,111,107.458333333,108.25
104,107,110,111,107.166666667,108.5
105,107,111,109,108.208333333,108.125
103,106,110,111,107.166666667,108.333333333
104,105,111,111,107.666666667,108.541666667
105,106,110,112,107.375,108.791666667
103,106,110,110,106.916666667,108.5
